VISIT_DATE,CONSTRUCTION_NO,STATE_CODE,STATE_CODE_EXP,VISIT_NO,RUN_NUMBER,SHRP_ID,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,IRI_CENTER_LANE,MRI
04-08-1997,1,6,California,06820106,4,8201,1.488999963,1.605000019,,1.547000051
04-14-1997,1,6,California,06264706,1,2647,1.003000021,0.949000001,,0.976000011
08-07-1990,1,6,California,06125302,2,1253,1.674000025,1.916000009,,1.794999957
02-20-1991,1,6,California,06200402,5,2004,1.503000021,1.84800005,,1.674999952
05-09-1991,1,6,California,06125304,3,1253,1.570000052,1.817999959,,1.694000006
02-20-1991,1,6,California,06200402,1,2004,1.554999948,1.809000015,,1.682000041
04-10-1992,1,6,California,06125305,4,1253,1.590000033,1.741000056,,1.664999962
02-15-1991,1,6,California,06820102,6,8201,1.207999945,1.333999991,,1.271000028
05-09-1991,1,6,California,06125303,2,1253,1.618000031,1.873999953,,1.746000051
02-15-1992,1,6,California,06815102,3,8151,3.967999935,1.00999999,,2.489000082
02-15-1992,1,6,California,06815102,2,8151,4.114999771,0.987999976,,2.551000118
05-02-1991,1,6,California,06264702,5,2647,0.964999974,0.935000002,,0.949999988
03-22-1993,1,6,California,06264704,6,2647,1.008000016,0.893000007,,0.949999988
03-15-1993,1,6,California,06200404,2,2004,1.896999955,2.303999901,,2.099999905
06-13-1994,1,6,California,06264705,1,2647,0.805000007,0.967000008,,0.885999978
12-16-1989,1,6,California,06264701,2,2647,0.880999982,0.944999993,,0.912999988
03-08-1992,1,6,California,06200403,4,2004,1.789000034,1.952000022,,1.871000051
04-14-1997,1,6,California,06264706,4,2647,0.893999994,0.916999996,,0.906000018
06-10-1994,1,6,California,06125309,5,1253,1.646000028,2.025000095,,1.835999966
03-15-1993,1,6,California,06200404,7,2004,1.894000053,2.398000002,,2.145999908
04-06-1993,1,6,California,06125307,2,1253,1.63499999,1.907999992,,1.771999955
03-08-1992,1,6,California,06200403,1,2004,1.735000014,1.758999944,,1.746999979
03-22-1993,1,6,California,06264704,5,2647,0.976000011,0.916000009,,0.94599998
06-13-1994,1,6,California,06264705,5,2647,0.797999978,0.944000006,,0.870999992
03-08-1992,1,6,California,06200403,2,2004,1.746999979,2.095000029,,1.921000004
04-13-1992,1,6,California,06125306,5,1253,1.585999966,1.947999954,,1.76699996
12-06-1989,1,6,California,06125301,2,1253,1.629999995,1.843000054,,1.735999942
03-16-1992,1,6,California,06264703,7,2647,0.924000025,0.922999978,,0.922999978
03-29-1995,1,6,California,06820105,1,8201,1.345999956,1.407999992,,1.376999974
09-23-1998,1,6,California,06264707,3,2647,1.167999983,1.113999963,,1.141000032
03-16-1992,1,6,California,06264703,4,2647,0.91900003,0.927999973,,0.922999978
09-23-1998,1,6,California,06264707,6,2647,1.144000053,1.113999963,,1.128999949
02-25-1998,1,6,California,06820107,5,8201,1.483999968,1.621000051,,1.552000046
05-05-1998,1,6,California,06125311,2,1253,1.88499999,2.220999956,,2.052999973
